[RELA_INVERSE]
3_UTR_of|Has_3_UTR
Has_Salt_Or_Ester_Form|Has_Free_Acid_Or_Base_Form
Has_Segment|Segment_of
Has_SeroNet_Authorized_Value|Is_SeroNet_Authorized_Value_For_Variable
Has_SeroNet_Permissible_Value|Is_SeroNet_Permissible_Value_For_Variable
Has_Subset|Subset_of
Has_Target|Is_Target_Of_Agent
Has_Telomere|Telomere_of
Has_Transcript|Transcript_of
Human_Disease_Maps_To_EO_Disease|EO_Disease_Maps_To_Human_Disease
Human_Sex_Determinant|INV_Human_Sex_Determinant
ICDC_Value_Of|Has_ICDC_Value
INC_Parent_Of|Has_INC_Parent
INV_Chromosomal_Structural_Variant|Chromosomal_Structural_Variant
INV_Deleted_Region_End_Band|Deleted_Region_End_Band
INV_Deleted_Region_Start_Band|Deleted_Region_Start_Band
INV_Duplicated_Region_End_Band|Duplicated_Region_End_Band
INV_Duplicated_Region_Start_Band|Duplicated_Region_Start_Band
INV_Human_Sex_Determinant|Human_Sex_Determinant
INV_Inverted_Region_End_Band|Inverted_Region_End_Band
INV_Inverted_Region_End_Exon|Inverted_Region_End_Exon
INV_Inverted_Region_End_Gene|Inverted_Region_End_Gene
INV_Inverted_Region_End_UTR|Inverted_Region_End_UTR
INV_Inverted_Region_Start_Band|Inverted_Region_Start_Band
INV_Inverted_Region_Start_Exon|Inverted_Region_Start_Exon
INV_Inverted_Region_Start_Gene|Inverted_Region_Start_Gene
INV_Inverted_Region_Start_Intron|Inverted_Region_Start_Intron
INV_Involves|Involves
INV_Isochromosome_Origin|Isochromosome_Origin
INV_Karyotype_Class|Karyotype_Class
INV_Source_Band|Source_Band
INV_Source_Exon|Source_Exon
INV_Source_Gene|Source_Gene
INV_Source_Intron|Source_Intron
INV_Target_Band|Target_Band
INV_Target_Exon|Target_Exon
INV_Target_Gene|Target_Gene
INV_Target_Intron|Target_Intron
Imaged_Anatomy_Has_Procedure|Procedure_Has_Imaged_Anatomy
Intron_of|Has_Intron
Inverted_Region_End_Band|INV_Inverted_Region_End_Band
Inverted_Region_End_Exon|INV_Inverted_Region_End_Exon
Inverted_Region_End_Gene|INV_Inverted_Region_End_Gene
Inverted_Region_End_UTR|INV_Inverted_Region_End_UTR
Inverted_Region_Start_Band|INV_Inverted_Region_Start_Band
Inverted_Region_Start_Exon|INV_Inverted_Region_Start_Exon
Inverted_Region_Start_Gene|INV_Inverted_Region_Start_Gene
Inverted_Region_Start_Intron|INV_Inverted_Region_Start_Intron
Involves|INV_Involves
Is_ACC-AHA_SARS2_Authorized_Value_For_Variable|Has_ACC-AHA_SARS2_Authorized_Value
Is_Abnormal_Cell_Of_Disease|Disease_Has_Abnormal_Cell
Is_Abnormality_Of_Gene|Gene_Has_Abnormality
Is_Abnormality_Of_Gene_Product|Gene_Product_Has_Abnormality
Is_Associated_Anatomic_Site_Of|Disease_Has_Associated_Anatomic_Site
Is_Associated_Anatomy_Of_Gene_Product|Gene_Product_Has_Associated_Anatomy
Is_Associated_Disease_Of|Disease_Has_Associated_Disease
Is_Biochemical_Function_Of_Gene_Product|Gene_Product_Has_Biochemical_Function
Is_CTDC_Value_Of|Has_CTDC_Value
Is_Chemical_Classification_Of_Gene_Product|Gene_Product_Has_Chemical_Classification
Is_Chromosomal_Location_Of_Gene|Gene_In_Chromosomal_Location
Is_Component_Of_Chemotherapy_Regimen|Chemotherapy_Regimen_Has_Component
Is_Cytogenetic_Abnormality_Of_Disease|Disease_Has_Cytogenetic_Abnormality
Is_DIPG_DMG_Authorized_Value_For_Variable|Has_DIPG_DMG_Authorized_Value
Is_DIPG_DMG_Permissible_Value_For_Variable|Has_DIPG_DMG_Permissible_Value
Is_Finding_Of_Disease|Disease_Has_Finding
Is_Grade_Of_Disease|Disease_Is_Grade
Is_Location_Of|Has_Location
Is_Location_Of_Anatomic_Structure|Anatomic_Structure_Has_Location
Is_Location_Of_Biological_Process|Biological_Process_Has_Associated_Location
Is_Marked_By_Gene_Product|Gene_Product_Is_Biomarker_Of
Is_Mechanism_Of_Action_Of_Chemical_Or_Drug|Chemical_Or_Drug_Has_Mechanism_Of_Action
Is_Metastatic_Anatomic_Site_Of_Disease|Disease_Has_Metastatic_Anatomic_Site
Is_Molecular_Abnormality_Of_Disease|Disease_Has_Molecular_Abnormality
Is_Normal_Cell_Origin_Of_Disease|Disease_Has_Normal_Cell_Origin
Is_Normal_Tissue_Origin_Of_Disease|Disease_Has_Normal_Tissue_Origin
