[RELA_INVERSE]
3_UTR_of|Has_3_UTR
ATN|PANEL_TYPE|expanded_form|Panel type
ATN|PARENT_CLASS|expanded_form|VA Internal entry number of the parent class
ATN|PARTITION|expanded_form|Partition
ATN|PART_SEQ_ORDER|expanded_form|Part sequence order
ATN|PART_TYPE|expanded_form|Part type
ATN|PDC|expanded_form|SPN Product Device Class (level of CDRH regulation: class 1, 2, or 3). 
ATN|PDQ_Closed_Trial_Search_ID|expanded_form|PDQ Closed Trial Search ID
ATN|PDQ_Open_Trial_Search_ID|expanded_form|PDQ Open Trial Search ID
ATN|PHYSICAL_STATE|expanded_form|Physical state
ATN|PI|expanded_form|MeSH heading or heading/subheading combination(s) followed by a date range in parentheses (YYYY).
ATN|PID|expanded_form|Legacy PDQ ID
ATN|PID_ID|expanded_form|PID ID
ATN|PIRADSV2|expanded_form|Piradsv 2
ATN|PM|expanded_form|Public MeSH note - combines key information from the HN and PI elements in a format that is printed in the MeSH publications.
ATN|PMID|expanded_form|Pubmed ID
ATN|POLARITY|expanded_form|Polarity
ATN|PRC|expanded_form|Product Third Party Review Code from SPN. 
ATN|PREFERRED_NAME_GERMAN|expanded_form|Preferred name German
ATN|PREMARKET_APPLICATION|expanded_form|Premarket Application
ATN|PREMARKET_NOTIFICATION|expanded_form|FDA Structured Product Label premarket notification
ATN|PRESENTATION_STRENGTH_DENOMINATOR_VALUE|expanded_form|Presentation strength denominator value (defining)
ATN|PRESENTATION_STRENGTH_NUMERATOR_VALUE|expanded_form|Presentation strength numerator value (defining)
ATN|PREV_NAME|expanded_form|Previous name
ATN|PREV_SYMBOL|expanded_form|Previous symbol
ATN|PRIMARY_PATH|expanded_form|Primary Path from the PT to the SOC
ATN|PRIMARY_SOC|expanded_form|Primary SOC
ATN|PTR|expanded_form|SPN Product Tier (level of CDRH triage: 1, 2, 3, or E{xempt}). 
ATN|PT_IN_VERSION|expanded_form|PT In Version
ATN|PXC|expanded_form|PDQ Protocol Exclusion Criteria - terms with type "exclusion criteria," which may be indexed on protocol records to identify conditions that exclude a patient from eligibility.
ATN|PubMedID_Primary_Reference|expanded_form|PubMedID Primary Reference
ATN|Publish_Value_Set|expanded_form|Publish_Value_Set
ATN|QUALIFIER|expanded_form|has qualifer
ATN|RADLEX_ID|expanded_form|RadLex ID
ATN|RADLEX_PLAYBOOK_LONG_NAME|expanded_form|RadLex Playbook long name
ATN|RADLEX_PREF_NAME|expanded_form|RadLex preferred name
ATN|RADLEX_VERSION_OF_CLASS_CHANGE|expanded_form|RadLex version of class change
ATN|RANK|expanded_form|NCBI Rank (e.g. RANK[NCBI]species)
ATN|RARE_DISEASE_URL|expanded_form|Rare disease URL
ATN|RDF_ID|expanded_form|RDF ID
ATN|REF|expanded_form|References or citations related to a given atom or concept.
ATN|REFSEQ_ID|expanded_form|RefSeq ID
ATN|REFSET_PATTERN|expanded_form|Refset pattern
ATN|REGIONAL_DIV|expanded_form|Regional division
ATN|REPLACED_BY|expanded_form|Replaced by
ATN|REPLACED_WITH_TERM|expanded_form|MO_1018: indicates the replacement term
ATN|RETIRED_CODE|expanded_form|Previous/Retired Code
ATN|RGD_ID|expanded_form|Rat genome database gene ID
ATN|RID|expanded_form|Read Codes Term_id - identifier assigned to a Read term, used in referring to the term in the Read file structure, and may be used in clinical information systems.
ATN|RN|expanded_form|Registry Number - series of numbers and hyphens (any leading zeros in an RN are dropped) or a series of numbers and periods, preceded by EC
ATN|RNA_CENTRAL_ID|expanded_form|RNA Central ID
ATN|ROMANIZATION_SYS_ID|expanded_form|Romanization system ID
ATN|RPID|expanded_form|RadLex Playbook ID
ATN|RR|expanded_form|The Chemical Abstracts Registry numbers for salts, optical isomers, or isotope-labeled versions of the concept followed by the relationship of this RR to the RN (in parentheses.) Applies to chemicals only. These numbers can be used as links to information in a number of chemical and toxicological databases.
ATN|RXAUI|expanded_form|RxNorm atom identifier for the atom it is connected to
ATN|RXCUI|expanded_form|RxNorm concept identifier for the atom this is connected to
ATN|RXN_ACTIVATED|expanded_form|Date the RxNorm atom was reactivated
ATN|RXN_AI|expanded_form|RXCUI of BOSS Active Ingredient preceded by RXCUI of SCDC responsible for value
ATN|RXN_AM|expanded_form|RXCUI of BOSS Active Moiety preceded by RXCUI of SCDC responsible for value
ATN|RXN_AVAILABLE_STRENGTH|expanded_form|Available drug strengths listed in the order of ingredients from the drug
ATN|RXN_BN_CARDINALITY|expanded_form|Cardinality of RxNorm Brand Name Atom
ATN|RXN_BOSS_AI|expanded_form|RXN Boss AI
ATN|RXN_BOSS_AM|expanded_form|RXN Boss AM
ATN|RXN_BOSS_FROM|expanded_form|RXN Boss From
ATN|RXN_BOSS_STRENGTH_DENOM_UNIT|expanded_form|RXN Boss Strength Denom Unit
ATN|RXN_BOSS_STRENGTH_DENOM_VALUE|expanded_form|RXN Boss Strength Denom Value
ATN|RXN_BOSS_STRENGTH_NUM_UNIT|expanded_form|RXN Boss Strength Num Unit
ATN|RXN_BOSS_STRENGTH_NUM_VALUE|expanded_form|RXN Boss Strength Num Value
ATN|RXN_HUMAN_DRUG|expanded_form|Drug available for use in Humans
ATN|RXN_IN_EXPRESSED_FLAG|expanded_form|Strength Expressed As Precise Flag
ATN|RXN_OBSOLETED|expanded_form|Date the RxNorm atom became obsolete
ATN|RXN_QUALITATIVE_DISTINCTION|expanded_form|RXN Qualitative Distinction
ATN|RXN_QUANTITY|expanded_form|Normal Form quantity factor
ATN|RXN_STRENGTH|expanded_form|Strength plus unit of SCDC
ATN|RXN_VET_DRUG|expanded_form|Drug available for use in animals
ATN|RXTERM_FORM|expanded_form|The RxTerm dose form name for this drug
ATN|Relative_Enzyme_Activity|expanded_form|Relative Enzyme Activity
ATN|SC|expanded_form|MeSH Supplemental record class.
ATN|SCORE|expanded_form|FDA Structured Product Label imprint attribute for score
ATN|SEE_ALSO|expanded_form|See also
ATN|SEE_NOTE|expanded_form|See note
ATN|SEQ_NO|expanded_form|Sequence number
ATN|SHAPE|expanded_form|FDA Structured Product Label imprint attribute for shape
ATN|SHAPETEXT|expanded_form|FDA Structured Product Label imprint attribute for shape text
ATN|SID|expanded_form|Secondary GO ID (e.g. GO:0020034)
ATN|SIZE|expanded_form|FDA Structured Product Label imprint attribute for size
ATN|SLOT_SYNONYM|expanded_form|slot synonym
ATN|SMQ_ALGORITHM|expanded_form|SMQ Algorithm
ATN|SMQ_LEVEL|expanded_form|Standardised MedDRA Query (SMQ) Level. Value between 1 and 5 identifying the level of the SMQ within the hierarchy of SMQs; 1 is the most general, 5 is the most narrow.
ATN|SMQ_NOTE|expanded_form|SMQ Note
ATN|SMQ_SOURCE|expanded_form|Standardised MedDRA Query (SMQ) Source. Source for the development of the SMQ, e.g. medical references.
ATN|SMQ_STATUS|expanded_form|Standardised MedDRA Query (SMQ) Status. "A" = active; "I" = inactive.
ATN|SMQ_TERM_ADDVERSION|expanded_form|Standardised MedDRA Query (SMQ) Addition Version. Version of MedDRA in which term was added to the SMQ.
ATN|SMQ_TERM_CAT|expanded_form|Standardised MedDRA Query (SMQ) Term Category. A single alphabetical letter indicating the category of the term for application of the SMQ algorithm. If the SMQ does not use algorithms, then all Term_category values are assigned "A." For a child SMQ, this field is assigned "S."
ATN|SMQ_TERM_LEVEL|expanded_form|Standardised MedDRA Query (SMQ) Term Level. The MedDRA hierarchy level of a term (4=PT, 5=LLT) or 0 (zero) for a child SMQ.
ATN|SMQ_TERM_LMVERSION|expanded_form|Standardised MedDRA Query (SMQ) Last Modified Version. Version of MedDRA in which term was last modified in the SMQ.
ATN|SMQ_TERM_SCOPE|expanded_form|Standardised MedDRA Query (SMQ) Term Scope. Defines the MedDRA term as a member of the broad scope (1), narrow scope (2) of the SMQ search, or a child SMQ (0) (zero).
ATN|SMQ_TERM_STATUS|expanded_form|Standardised MedDRA Query (SMQ) Term Status. Identifies a term as active ("A") or inactive ("I") within this SMQ.
ATN|SMQ_TERM_WEIGHT|expanded_form|Standardised MedDRA Query (SMQ) Term Weight. Used for some SMQ algorithms; "0" is used as default.
ATN|SNGL_OR_MULT_SRC_PRD|expanded_form|Single or multi-source product
ATN|SNOMEDID|expanded_form|SNOMED RT identifier for a SNOMED CT concept
ATN|SNOMED_CHILD|expanded_form|SNOMED CHILD
ATN|SNOMED_CID|expanded_form|SNOMED-CT concept ID mapping for NDFRT disease name term
ATN|SNOMED_ID|expanded_form|SNOMED ID
ATN|SNOMED_PARENT|expanded_form|SNOMED PARENT
ATN|SNOMED_TERM|expanded_form|SNOMED term
ATN|SNP_ID|expanded_form|SNP_ID
ATN|SOS|expanded_form|Scope Statement
ATN|SOURCEEFFECTIVETIME|expanded_form|Source Effective Time
ATN|SOURCE_EFFECTIVE_TIME|expanded_form|Source effective time
ATN|SPECIES|expanded_form|Species
ATN|SPLIT_TO_TERM|expanded_form|MO_1017: indicates a replacement term since the term was split.
ATN|SPL_SET_ID|expanded_form|FDA Structured Product Label SET_ID code
ATN|SRC|expanded_form|MeSH Literature source of chemical name - a citation to an article in a journal indexed for MEDLINE in which the chemical has been identified. (Note: Not to be confused with source abbreviation of SRC)
ATN|ST|expanded_form|Concept Attributes Status - valid values: R Reviewed, U Unreviewed 
ATN|STATE_OF_DETERMINATION|expanded_form|State of determination
ATN|STATUS|expanded_form|Indicates status of "active" (current) or "inactive" (obsolete/deprecated)
ATN|STATUS_REASON|expanded_form|Classification of the reason for concept status in LOINC
ATN|STATUS_TEXT|expanded_form|Explanation of concept status in narrative text in LOINC
ATN|STRENGTH|expanded_form|NDF strength
ATN|SUBDIVISION_CATEGORY|expanded_form|Subdivision category
ATN|SUBSEQUENT_TEXT_PROMPT|expanded_form|Subsequent text prompt
ATN|SUBSET_MEMBER|expanded_form|Subset member
ATN|SWP|expanded_form|Swiss Protein Number
ATN|SYCODE|expanded_form|Synonym Code
ATN|SYMBOL|expanded_form|FDA Structured Product Label imprint attribute for symbol
ATN|SYNONYM_GERMAN|expanded_form|Synonym German
ATN|SYN_QUALIFIER|expanded_form|Synonym qualifier
ATN|Swiss_Prot|expanded_form|Swiss Prot
ATN|TALAIRACH|expanded_form|Talairach
ATN|TALAIRACH_TERM|expanded_form|Talairach Term
ATN|TARGETCOMPONENT|expanded_form|Target Component
ATN|TARGETEFFECTIVETIME|expanded_form|Target Effective Time
ATN|TARGET_EFFECTIVE_TIME|expanded_form|Target effective time
ATN|TA_ID|expanded_form|TAID
ATN|TERMUI|expanded_form|Term unique identifier
ATN|TERM_CODE|expanded_form|Term Code
ATN|TERM_LEVEL|expanded_form|Term level
ATN|TERM_STATUS|expanded_form|Term status
ATN|TH|expanded_form|MeSH Thesaurus ID - identifies thesauri other than MeSH in which the MeSH heading or cross-reference is included.
ATN|TOP_2000_LAB_RESULTS_SI|expanded_form|Top 2000 lab results SI
ATN|TOP_2000_LAB_RESULTS_US|expanded_form|Top 2000 lab results US
ATN|TORSAB|expanded_form|Root source abbreviation for the "to" identifiers of a map set
ATN|TOVSAB|expanded_form|Versioned source abbreviation for the "to" identifiers of a map set
ATN|TRANSLATION|expanded_form|Translated name of the neuroanatomical structure
ATN|TRANS_DETAIL|expanded_form|Translocation Detail
ATN|TYPE_ID|expanded_form|Type ID
ATN|Term_Browser_Value_Set_Description|expanded_form|Term Browser Value Set Description
ATN|Tolerable_Level|expanded_form|Tolerable_Level
ATN|UI1_HAS_BOND_WITH|expanded_form|UI1 Has Bond With
ATN|UI1_HAS_PROPERTY|expanded_form|UI1 Has Property
ATN|UI1_HAS_QUALITY|expanded_form|UI1 Has Quality
ATN|UI1_HAS_ROLE|expanded_form|UI1 Has Role
ATN|UI1_HAS_SINGLE_BOND_WITH|expanded_form|UI1 Has Single Bond With
ATN|UI1_IS_REALIZED_IN|expanded_form|UI1 Is Realized In
ATN|UMLSREL|expanded_form|The UMLS Metathesaurus REL relationship (SY, CHD, RN, RB, RO) assigned to SNOMED CT relationship identifiers.
ATN|UMLSRELA|expanded_form|UMLS relationship attribute
ATN|UNAPPROVED_DRUG_OTHER|expanded_form|Marketing category unapproved_drug_other for MTHSPL atom
ATN|UNAPPROVED_HOMEOPATHIC|expanded_form|Unapproved Homeopathic
ATN|UNAPPROVED_MEDICAL_GAS|expanded_form|Unapproved Medical Gas
ATN|UNITS_AND_RANGE|expanded_form|Units and range
ATN|UNIT_SYMBOL|expanded_form|Unit Symbol
ATN|UNIVERSAL_LAB_ORDERS_VALUE_SET|expanded_form|A value of "TRUE" indicates that the LOINC NUM is a member of the LOINC Universal Lab Orders Value Set
ATN|UNSANCTIONED_TERM|expanded_form|Unsanctioned term
ATN|USAGE_NOTES|expanded_form|Usage notes
ATN|USDA_ID|expanded_form|USDA ID
ATN|USE_ADDITIONAL|expanded_form|Certain conditions have both an underlying etiology and multiple body system manifestations due to the underlying etiology. ICD-10-CM has a coding convention that requires the underlying condition be sequenced first followed by the manifestation. Wherever such a combination exists there is a "use additional code" note at the etiology code. These instructional notes indicate the proper sequencing order of the codes, etiology followed by manifestation. In most cases the manifestation codes will have in the code title, "in diseases classified elsewhere." Codes with this title are a component of the etiology/ manifestation convention. The code title indicates that it is a manifestation code. "In diseases classified elsewhere" codes are never permitted to be used as first listed or principle diagnosis codes. They must be used in conjunction with an underlying condition code and they must be listed following the underlying condition.
ATN|US_Recommended_Intake|expanded_form|US Recommended Intake
ATN|UWT|expanded_form|A semantic type provided from terms from the University of Washington Digital Anatomist 
ATN|Unit|expanded_form|Unit
ATN|Use_For|expanded_form|Use For
ATN|VAC|expanded_form|VA Class - the code of an NDF/HT drug class name (e.g. AM110)
ATN|VACCINE_STATUS|expanded_form|Vaccine status. CVX codes for inactive vaccines allow transmission of historical immunization records.
ATN|VALUEID|expanded_form|Value ID
ATN|VANDF_RECORD|expanded_form|Concatenated triple of VANDF file number, VANDF file IEN, VANDF file record status
ATN|VA_CLASS_NAME|expanded_form|VA class name
ATN|VA_DISPENSE_UNIT|expanded_form|VA dispense unit
ATN|VA_GENERIC_NAME|expanded_form|VA generic name
ATN|VA_IEN|expanded_form|VA individual entry number
ATN|VEGA_ID|expanded_form|VEGA ID
ATN|VERSION_FIRST_RELEASED|expanded_form|Version first released
ATN|VERSION_LAST_CHANGED|expanded_form|Version last changed
ATN|VIEW|expanded_form|View
ATN|VMO|expanded_form|VA CMOP (central mail - order pharmacy) ID
ATN|VUID|expanded_form|VHA unique identifier assigned to the product
ATN|Value_Set_Pair|expanded_form|Value Set Pair
ATN|miRBase_ID|expanded_form|miRBase ID
ATN||expanded_form|No type, used for XR mappings.
ATN|0|expanded_form|No additional restrictions; general terms of the license agreement apply.
ATN|1|expanded_form|General terms + additional restrictions in category 12.1
ATN|116676008|expanded_form|RO
ATN|116678009|expanded_form|RO
ATN|116680003|expanded_form|CHD
ATN|116683001|expanded_form|RO
ATN|116686009|expanded_form|RO
ATN|118168003|expanded_form|RO
ATN|118169006|expanded_form|RO
ATN|118170007|expanded_form|RO
ATN|118171006|expanded_form|RO
ATN|123005000|expanded_form|RN
ATN|127489000|expanded_form|RO
ATN|131195008|expanded_form|RO
ATN|149016008|expanded_form|RO
ATN|159083000|expanded_form|RN
ATN|168666000|expanded_form|SY
ATN|2|expanded_form|General terms + additional restrictions in category 12.2
ATN|246075003|expanded_form|RO
ATN|246090004|expanded_form|RO
ATN|246093002|expanded_form|RO
ATN|246112005|expanded_form|RO
ATN|246267002|expanded_form|RO
ATN|246454002|expanded_form|RO
ATN|246456000|expanded_form|RO
ATN|246501002|expanded_form|RO
ATN|246513007|expanded_form|RO
ATN|255234002|expanded_form|RO
ATN|258214002|expanded_form|RO
ATN|260507000|expanded_form|RO
ATN|260686004|expanded_form|RO
ATN|260858005|expanded_form|RO
ATN|260870009|expanded_form|RO
ATN|263502005|expanded_form|RO
ATN|263535000|expanded_form|RO
ATN|272741003|expanded_form|RO
ATN|3|expanded_form|General terms + additional restrictions in category 12.3
ATN|308489006|expanded_form|RO
ATN|309824003|expanded_form|RO
ATN|363589002|expanded_form|RO
ATN|363698007|expanded_form|RO
ATN|363699004|expanded_form|RO
ATN|363700003|expanded_form|RO
ATN|363701004|expanded_form|RO
ATN|363702006|expanded_form|RO
ATN|363703001|expanded_form|RO
ATN|363704007|expanded_form|RO
ATN|363705008|expanded_form|RO
ATN|363708005|expanded_form|RO
ATN|363709002|expanded_form|RO
ATN|363710007|expanded_form|RO
ATN|363713009|expanded_form|RO
ATN|363714003|expanded_form|RO
ATN|363715002|expanded_form|RO
ATN|367346004|expanded_form|RO
ATN|370124000|expanded_form|RO
ATN|370125004|expanded_form|RO
ATN|370129005|expanded_form|RO
ATN|370130000|expanded_form|RO
ATN|370131001|expanded_form|RO
ATN|370132008|expanded_form|RO
ATN|370133003|expanded_form|RO
ATN|370134009|expanded_form|RO
ATN|370135005|expanded_form|RO
ATN|4|expanded_form|General terms + additional restrictions in category 12.4
ATN|405813007|expanded_form|RO
ATN|405814001|expanded_form|RO
ATN|405815000|expanded_form|RO
ATN|405816004|expanded_form|RO
ATN|408729009|expanded_form|RO
ATN|408730004|expanded_form|RO
ATN|408731000|expanded_form|RO
ATN|408732007|expanded_form|RO
ATN|410675002|expanded_form|RO
ATN|411116001|expanded_form|RO
ATN|418775008|expanded_form|RO
ATN|419066007|expanded_form|RO
ATN|424226004|expanded_form|RO
ATN|424244007|expanded_form|RO
ATN|424361007|expanded_form|RO
ATN|424876005|expanded_form|RO
ATN|425391005|expanded_form|RO
ATN|42752001|expanded_form|RO
ATN|47429007|expanded_form|RO
ATN|704318007|expanded_form|RO
ATN|704319004|expanded_form|RO
ATN|704321009|expanded_form|RO
ATN|704324001|expanded_form|RO
ATN|704326004|expanded_form|RO
ATN|704327008|expanded_form|RO
ATN|718497002|expanded_form|RO
ATN|719715003|expanded_form|RO
ATN|9|expanded_form|General terms + SNOMED CT Affiliate License in Appendix 2
ATN|900000000000523009|expanded_form|RO
ATN|900000000000524003|expanded_form|RO
ATN|900000000000525002|expanded_form|RO
ATN|900000000000526001|expanded_form|RO
ATN|900000000000527005|expanded_form|SY
ATN|900000000000528000|expanded_form|RN
ATN|900000000000530003|expanded_form|RN
ATN|900000000000531004|expanded_form|RN
ATN|AUI|expanded_form|Atom identifier
ATN|C|expanded_form|Varies from the preferred term only in upper-lower case 
ATN|CODE|expanded_form|Unique Identifier or code for string in source
ATN|CUI|expanded_form|Concept unique identifier
ATN|E|expanded_form|Suppressible due to editor decision
ATN|FULL|expanded_form|Full contexts
ATN|FULL-MULTIPLE|expanded_form|Full contexts, multiple tree positions
ATN|FULL-MULTIPLE-IGNORE-RELA|expanded_form|Full contexts, multiple tree positions, RELA not used when computing ancestors/descendants
ATN|FULL-NOSIB|expanded_form|Full contexts, no siblings
ATN|FULL-NOSIB-IGNORE-RELA|expanded_form|Full contexts, no siblings, RELA not used when computing ancestors/descendants
ATN|FULL-NOSIB-MULTIPLE|expanded_form|Full contexts, no siblings, multiple tree positions
ATN|FULL-NOSIB-MULTIPLE-IGNORE-RELA|expanded_form|Full contexts, no siblings, multiple tree positions, RELA not used when computing ancestors/descendants
ATN|N|expanded_form|Not suppressible
ATN|O|expanded_form|Obsolete, SAB,TTY may be independently suppressible
ATN|P|expanded_form|Preferred LUI of the CUI
ATN|PF|expanded_form|Preferred form of term 
ATN|RUI|expanded_form|Relationship identifier
ATN|S|expanded_form|Non-Preferred LUI of the CUI
ATN|SCUI|expanded_form|Source asserted concept unique identifier
ATN|SDUI|expanded_form|Source asserted descriptor identifier
ATN|V|expanded_form|Followed by one or more of the following types of variation, in this order: 
ATN|VC|expanded_form|Case variant of the preferred form
ATN|VCW|expanded_form|Case and word-order variant of the preferred form
ATN|VO|expanded_form|Variant of the preferred form
ATN|VW|expanded_form|Word-order variant of the preferred form
ATN|W|expanded_form|Contains same words as the preferred form, disregarding order and punctuation 
ATN|Y|expanded_form|Suppressible due to SAB,TTY
ATN|mmsys.build.date|expanded_form|2013_02_12_20_13_39
ATN|mmsys.version|expanded_form|MMSYS-201212-20130212
ATN|p|expanded_form|Preferred LUI of the CUI, suppressible (only used in ORF MRCON)
ATN|s|expanded_form|Non-Preferred LUI of the CUI, suppressible (only used in ORF MRCON)
ATN|umls.lvg.version|expanded_form|2017
ATN|umls.release.date|expanded_form|20170801
ATN|umls.release.description|expanded_form|Base Release June 2017
ATN|umls.release.name|expanded_form|201706
ATN|ENG|expanded_form|English
ATN|AQ|expanded_form|Allowed qualifier
ATN|BRB|expanded_form|Bequeath broader
ATN|BRN|expanded_form|Bequeath narrower
ATN|BRO|expanded_form|Bequeath otherwise
ATN|CHD|expanded_form|has child relationship in a Metathesaurus source vocabulary
ATN|PAR|expanded_form|has parent relationship in a Metathesaurus source vocabulary
ATN|QB|expanded_form|can be qualified by.
ATN|RB|expanded_form|has a broader relationship
ATN|RN|expanded_form|has a narrower relationship
ATN|RO|expanded_form|has relationship other than synonymous, narrower, or broader
ATN|RQ|expanded_form|related and possibly synonymous.
ATN|SIB|expanded_form|has sibling relationship in a Metathesaurus source vocabulary.
ATN|SY|expanded_form|source asserted synonymy.
ATN|XR|expanded_form|Not related, no mapping
ATN|aapp|expanded_form|Amino Acid, Peptide, or Protein
ATN|acab|expanded_form|Acquired Abnormality
ATN|acty|expanded_form|Activity
ATN|aggp|expanded_form|Age Group
ATN|amas|expanded_form|Amino Acid Sequence
ATN|amph|expanded_form|Amphibian
ATN|anab|expanded_form|Anatomical Abnormality
ATN|anim|expanded_form|Animal
ATN|anst|expanded_form|Anatomical Structure
ATN|antb|expanded_form|Antibiotic
ATN|arch|expanded_form|Archaeon
ATN|bacs|expanded_form|Biologically Active Substance
ATN|bact|expanded_form|Bacterium
ATN|bdsu|expanded_form|Body Substance
ATN|bdsy|expanded_form|Body System
ATN|bhvr|expanded_form|Behavior
ATN|biof|expanded_form|Biologic Function
ATN|bird|expanded_form|Bird
ATN|blor|expanded_form|Body Location or Region
ATN|bmod|expanded_form|Biomedical Occupation or Discipline
ATN|bodm|expanded_form|Biomedical or Dental Material
ATN|bpoc|expanded_form|Body Part, Organ, or Organ Component
ATN|bsoj|expanded_form|Body Space or Junction
ATN|celc|expanded_form|Cell Component
ATN|celf|expanded_form|Cell Function
ATN|cell|expanded_form|Cell
ATN|cgab|expanded_form|Congenital Abnormality
ATN|chem|expanded_form|Chemical
ATN|chvf|expanded_form|Chemical Viewed Functionally
ATN|chvs|expanded_form|Chemical Viewed Structurally
ATN|clas|expanded_form|Classification
ATN|clna|expanded_form|Clinical Attribute
ATN|clnd|expanded_form|Clinical Drug
ATN|cnce|expanded_form|Conceptual Entity
ATN|comd|expanded_form|Cell or Molecular Dysfunction
ATN|crbs|expanded_form|Carbohydrate Sequence
ATN|diap|expanded_form|Diagnostic Procedure
ATN|dora|expanded_form|Daily or Recreational Activity
ATN|drdd|expanded_form|Drug Delivery Device
ATN|dsyn|expanded_form|Disease or Syndrome
ATN|edac|expanded_form|Educational Activity
ATN|eehu|expanded_form|Environmental Effect of Humans
ATN|elii|expanded_form|Element, Ion, or Isotope
ATN|emod|expanded_form|Experimental Model of Disease
ATN|emst|expanded_form|Embryonic Structure
ATN|enty|expanded_form|Entity
ATN|enzy|expanded_form|Enzyme
ATN|euka|expanded_form|Eukaryote
ATN|evnt|expanded_form|Event
ATN|famg|expanded_form|Family Group
ATN|ffas|expanded_form|Fully Formed Anatomical Structure
ATN|fish|expanded_form|Fish
ATN|fndg|expanded_form|Finding
ATN|fngs|expanded_form|Fungus
ATN|food|expanded_form|Food
ATN|ftcn|expanded_form|Functional Concept
ATN|genf|expanded_form|Genetic Function
ATN|geoa|expanded_form|Geographic Area
ATN|gngm|expanded_form|Gene or Genome
ATN|gora|expanded_form|Governmental or Regulatory Activity
ATN|grpa|expanded_form|Group Attribute
ATN|grup|expanded_form|Group
ATN|hcpp|expanded_form|Human-caused Phenomenon or Process
ATN|hcro|expanded_form|Health Care Related Organization
ATN|hlca|expanded_form|Health Care Activity
ATN|hops|expanded_form|Hazardous or Poisonous Substance
ATN|horm|expanded_form|Hormone
ATN|humn|expanded_form|Human
ATN|idcn|expanded_form|Idea or Concept
ATN|imft|expanded_form|Immunologic Factor
ATN|inbe|expanded_form|Individual Behavior
ATN|inch|expanded_form|Inorganic Chemical
ATN|inpo|expanded_form|Injury or Poisoning
ATN|inpr|expanded_form|Intellectual Product
ATN|irda|expanded_form|Indicator, Reagent, or Diagnostic Aid
ATN|lang|expanded_form|Language
ATN|lbpr|expanded_form|Laboratory Procedure
ATN|lbtr|expanded_form|Laboratory or Test Result
ATN|mamm|expanded_form|Mammal
ATN|mbrt|expanded_form|Molecular Biology Research Technique
ATN|mcha|expanded_form|Machine Activity
ATN|medd|expanded_form|Medical Device
ATN|menp|expanded_form|Mental Process
ATN|mnob|expanded_form|Manufactured Object
ATN|mobd|expanded_form|Mental or Behavioral Dysfunction
ATN|moft|expanded_form|Molecular Function
ATN|mosq|expanded_form|Molecular Sequence
ATN|neop|expanded_form|Neoplastic Process
ATN|nnon|expanded_form|Nucleic Acid, Nucleoside, or Nucleotide
ATN|npop|expanded_form|Natural Phenomenon or Process
ATN|nusq|expanded_form|Nucleotide Sequence
ATN|ocac|expanded_form|Occupational Activity
ATN|ocdi|expanded_form|Occupation or Discipline
ATN|orch|expanded_form|Organic Chemical
ATN|orga|expanded_form|Organism Attribute
ATN|orgf|expanded_form|Organism Function
ATN|orgm|expanded_form|Organism
ATN|orgt|expanded_form|Organization
ATN|ortf|expanded_form|Organ or Tissue Function
ATN|patf|expanded_form|Pathologic Function
ATN|phob|expanded_form|Physical Object
ATN|phpr|expanded_form|Phenomenon or Process
ATN|phsf|expanded_form|Physiologic Function
ATN|phsu|expanded_form|Pharmacologic Substance
ATN|plnt|expanded_form|Plant
ATN|podg|expanded_form|Patient or Disabled Group
ATN|popg|expanded_form|Population Group
ATN|prog|expanded_form|Professional or Occupational Group
ATN|pros|expanded_form|Professional Society
ATN|qlco|expanded_form|Qualitative Concept
ATN|qnco|expanded_form|Quantitative Concept
ATN|rcpt|expanded_form|Receptor
ATN|rept|expanded_form|Reptile
ATN|resa|expanded_form|Research Activity
ATN|resd|expanded_form|Research Device
ATN|rnlw|expanded_form|Regulation or Law
ATN|sbst|expanded_form|Substance
ATN|shro|expanded_form|Self-help or Relief Organization
ATN|socb|expanded_form|Social Behavior
ATN|sosy|expanded_form|Sign or Symptom
ATN|spco|expanded_form|Spatial Concept
ATN|tisu|expanded_form|Tissue
ATN|tmco|expanded_form|Temporal Concept
ATN|topp|expanded_form|Therapeutic or Preventive Procedure
ATN|virs|expanded_form|Virus
ATN|vita|expanded_form|Vitamin
ATN|vtbt|expanded_form|Vertebrate
TTY|AB|expanded_form|Abbreviation in any source vocabulary
TTY|ACR|expanded_form|Acronym
TTY|AD|expanded_form|Adjective
TTY|AM|expanded_form|Short form of modifier
TTY|AUN|expanded_form|Authority name
TTY|BN|expanded_form|Fully-specified drug brand name that can not be prescribed
TTY|BPCK|expanded_form|Branded Drug Delivery Device
TTY|BR|expanded_form|Binding realm
TTY|CA2|expanded_form|ISO 3166-1 standard country code in alpha-2 (two-letter) format
TTY|CA3|expanded_form|ISO 3166-1 standard country code in alpha-3 (three-letter) format
TTY|CAS|expanded_form|CAS Registry name
TTY|CC|expanded_form|Trimmed ICPC component process
TTY|CCN|expanded_form|Chemical code name
TTY|CCS|expanded_form|FIPS 10-4 country code
TTY|CD|expanded_form|Clinical Drug
TTY|CDO|expanded_form|Concept domain
TTY|CE|expanded_form|Entry term for a Supplementary Concept
TTY|CHN|expanded_form|Chemical structure name
TTY|CMN|expanded_form|Common name
TTY|CN|expanded_form|LOINC official component name
TTY|CNU|expanded_form|ISO 3166-1 standard country code in numeric (three-digit) format
